,task_id,pipeline_id,y
695,139,51,0.9987036597307856
696,14,47,0.9987016666666668
697,78,17,0.9986895228203492
698,588,108,0.9986876640419948
699,9,72,0.9986826388888888
700,121,46,0.99868
701,76,77,0.9986772147178812
702,93,36,0.9986724524569722
703,46,54,0.998667
704,76,2,0.998629535765938
705,76,71,0.9986209780053328
706,483,5,0.99862
707,121,5,0.998606568166444
708,582,3,0.9986049748164694
709,562,57,0.9986017714204628
710,76,20,0.9985983985011212
711,9,25,0.9985875
712,4,16,0.998583
713,607,88,0.9985788657991724
714,19,6,0.998575
715,469,15,0.9985744832501782
716,12,74,0.9985677777777776
717,14,41,0.9985600000000002
718,93,51,0.9985508016380508
719,37,45,0.9985420916894416
720,63,106,0.9985277648717432
721,78,13,0.9985275041975282
722,78,80,0.998527452879779
723,121,16,0.998526
724,78,88,0.9985196507916332
725,1,115,0.998515241726416
726,12,77,0.9985134722222222
727,26,9,0.998508461235734
728,9,5,0.9985006944444444
729,12,72,0.9984956944444444
730,601,2,0.9984776866008908
731,9,20,0.9984765277777778
732,12,63,0.9984727777777778
733,46,116,0.998467
734,94,16,0.998447
735,1,117,0.9984136158297832
736,26,3,0.9984102934102936
737,1,83,0.9984055720812082
738,46,118,0.9984
739,566,2,0.9983882950246924
740,26,56,0.9983814333814331
741,78,51,0.9983603342590628
742,364,5,0.998341
743,77,10,0.9983333333333334
744,46,119,0.9983333333333332
745,24,64,0.9983318911065706
746,377,1,0.998324
747,12,81,0.9983193055555556
748,20,38,0.998312
749,598,5,0.998303
750,607,5,0.99829943510774
751,14,51,0.9982755555555556
752,4,36,0.998271996955543
753,46,1,0.998267
754,46,120,0.9982666666666667
755,46,121,0.9982666666666667
756,1,122,0.998264
757,9,41,0.998245
758,77,26,0.9982424242424244
759,12,47,0.9982394444444446
760,560,11,0.9982354094503628
761,24,10,0.9982312519584404
762,24,48,0.998230817843183
763,20,68,0.9982230628116824
764,8,11,0.9982213897131552
765,1,47,0.9982150725722692
766,12,25,0.9982141666666666
767,37,36,0.9982100927672348
768,457,15,0.9982009925558314
769,9,51,0.998192222222222
770,601,47,0.998180416824308
771,26,16,0.998177
772,578,78,0.998175
773,94,90,0.99817
774,77,63,0.998161616161616
775,144,6,0.998155
776,14,40,0.9981522222222222
777,579,3,0.9981464935453108
778,46,123,0.998133
779,12,17,0.998124722222222
780,1,124,0.9981210980462324
781,556,82,0.998116
782,86,12,0.9981074105935848
783,1,125,0.9981003020133308
784,24,88,0.9980986366958636
785,121,61,0.9980916030534353
786,24,1,0.9980776344217668
787,459,11,0.9980715287517532
788,12,45,0.9980619444444444
789,185,5,0.99806
790,4,69,0.9980599652368666
791,208,18,0.998051
792,208,107,0.998051
793,26,15,0.9980200271109362
794,93,41,0.998010393977464
795,76,36,0.9979956502125382
796,298,11,0.997991967871486
797,26,11,0.9979817657090386
798,93,1,0.9979816502655808
799,556,73,0.9979768386994948
800,369,5,0.997971
801,4,126,0.9979635753822454
802,465,15,0.9979424421732112
803,46,127,0.9979333333333332
804,46,78,0.9979333333333332
805,46,128,0.997933
806,72,41,0.9979321251356138
807,20,80,0.9979223918143328
808,20,13,0.9979206346966056
809,578,129,0.997920524691358
810,9,46,0.997906
811,12,20,0.9979049999999998
812,566,77,0.9978966932799014
813,24,61,0.9978763304423875
814,1,68,0.9978678180606092
815,596,5,0.9978645600039642
816,566,73,0.997853435457816
817,566,72,0.997853435457816
818,578,8,0.9978530092592592
819,1,10,0.9978193593801684
820,1,56,0.9977969938353496
821,14,11,0.9977966666666668
822,1,16,0.997791
823,77,60,0.997777777777778
824,77,48,0.997777777777778
825,121,68,0.9977680113534778
826,94,5,0.997768
827,12,65,0.997746
828,579,1,0.997741
829,578,9,0.9977121913580248
830,578,130,0.9977030285493828
831,9,12,0.9977027777777776
832,483,15,0.9976995629169542
833,12,46,0.997696
834,543,1,0.997684
835,12,51,0.9976816666666666
836,556,2,0.9976787405303028
837,24,62,0.9976737034094182
838,578,77,0.9976639660493828
839,1,69,0.9976584844086648
840,578,72,0.99765625
841,24,76,0.997636894576578
842,9,65,0.997634
843,77,36,0.9976268237934904
844,450,5,0.99762
845,1,4,0.9976141456970066
846,20,5,0.99761
847,37,12,0.997599022287232
848,63,86,0.9975933526213516
849,599,42,0.9975802455855504
850,14,36,0.9975801388888886
851,76,74,0.9975744861370393
852,31,41,0.9975562768073764
853,566,42,0.9975517487994634
854,381,1,0.997551
855,72,5,0.997523
856,31,2,0.9974970130546936
857,31,17,0.9974965000907492
858,12,41,0.9974958333333332
859,208,131,0.997494
860,9,36,0.9974933333333332
861,9,24,0.997491
862,9,16,0.997477
863,450,15,0.9974721941354904
864,46,132,0.997467
865,46,133,0.9974666666666668
866,440,15,0.9974468085106384
867,556,20,0.997446732954546
868,139,36,0.9974447452600842
869,371,5,0.997433
870,93,83,0.9974256404678704
871,20,56,0.9974164569310072
872,93,65,0.9974145433063686
873,556,11,0.9974143781565654
874,20,108,0.9973924930351727
875,566,47,0.997391644440391
876,9,13,0.997377222222222
877,599,26,0.9973483258572328
878,46,134,0.997333
879,9,80,0.9973275
880,12,71,0.9973066666666666
881,578,3,0.9973042052469137
882,25,11,0.9972654229667668
883,93,5,0.997264
884,374,5,0.997262
885,12,11,0.9972536111111112
886,566,1,0.997244
887,609,2,0.9972165985022508
888,208,15,0.9972152603731552
889,556,25,0.9971983506944446
890,118,84,0.997188735498088
891,578,52,0.9971778549382716
892,37,135,0.9971756033719544
893,121,48,0.9971741718607746
894,465,5,0.997169
895,578,136,0.9971643518518518
896,578,73,0.9971624228395062
897,566,17,0.9971619179184648
898,1,65,0.997148
899,566,74,0.9971360844399416
900,1,41,0.9971228884669516
901,31,123,0.99712
902,8,45,0.9970954912627762
903,1,46,0.997093
904,578,137,0.997088638117284
905,599,79,0.9970856006631432
906,599,73,0.9970856006631432
907,582,10,0.9970704539308456
908,31,23,0.997053126986228
909,47,15,0.9970386192749564
910,578,76,0.9970206404320988
911,601,17,0.9970084766494178
912,174,5,0.997002
913,94,10,0.997
914,566,45,0.9969823463003123
915,31,36,0.9969822758676388
916,93,56,0.996981055975292
917,121,138,0.996968911501554
918,205,5,0.996944
919,31,25,0.9969435827501018
920,31,20,0.9969385489245222
921,556,9,0.9969377367424244
922,46,139,0.9969333333333334
923,46,140,0.9969333333333334
924,46,141,0.9969333333333334
925,545,1,0.996924
926,578,142,0.9969135802469136
927,598,143,0.996912
928,31,73,0.9968818383272644
929,578,13,0.9968769290123456
930,14,16,0.996875
931,562,68,0.9968698824864544
932,596,39,0.99683125188835
933,609,20,0.9968280152399844
934,14,46,0.996825
935,78,16,0.99682
936,31,22,0.9968088054218034
937,578,144,0.9968045910493828
938,552,73,0.9968030912276076
939,12,16,0.996799
940,78,36,0.9967974861389788
941,14,65,0.996786
942,578,145,0.996766975308642
943,46,146,0.9967666666666666
944,599,71,0.9967635762833592
945,31,53,0.996758
946,601,46,0.996754
947,609,25,0.9967472545167478
948,37,16,0.996747
949,556,15,0.996742029671717
950,4,147,0.9967339717705292
951,4,148,0.9967339717705292
952,31,149,0.9967147973089412
953,139,41,0.996701161316348
954,599,77,0.9967003182764856
955,552,25,0.9966756140780062
956,31,12,0.9966679652724788
957,597,5,0.9966666666666668
958,552,5,0.99663
959,463,5,0.996605
960,158,5,0.996602
961,574,42,0.9966005735945144
962,46,82,0.9966
963,552,20,0.9965829003393568
964,566,107,0.9965806858471972
965,556,3,0.9965680239898989
966,1,150,0.9965653193583992
967,1,6,0.996565
968,578,151,0.996515239197531
969,562,152,0.9965148950551956
